Insee;Nom;Altitude;code_postal;longitude_radian;latitude_radian;pop99;surface
69278;Genay;220;69730;0.084512720743061;0.80106733772412;4657;8.64
69279;Jonage;225;69330;0.088080957129603;0.79930745429677;5363;12.05
69280;Jons;210;69330;0.088633629634823;0.79951111954113;1094;7.29
69281;Marennes;210;69970;0.085802323211417;0.7962434208836;1483;12.46
69282;Meyzieu;198;69330;0.087266462599716;0.79875964206054;28009;23.55
69283;Mions;220;69780;0.086495602299814;0.79698524440525;10283;11.63
69284;Montanay;300;69250;0.084895733242084;0.80076673341608;2335;7.27
69285;Pusignan;210;69330;0.08845910103726;0.7986432619209;3098;13.22
69286;Rillieux-la-Pape;290;69140;0.08544357044545;0.79978742250423;28367;14.67
69287;Saint-Bonnet-de-Mure;233;69720;0.087722187718877;0.79739730200491;5597;16.66
69288;Saint-Laurent-de-Mure;260;69720;0.088037322899619;0.79737792750798;4694;18.86
69289;Saint-Pierre-de-Chandieu;250;69780;0.087470086232189;0.79666040533128;4133;29.20
69290;Saint-Priest;220;69800;0.086306534507176;0.79758152617332;40974;29.67
69291;Saint-Symphorien-d'Ozon;180;69360;0.084755126658907;0.79644708612797;5063;13.47
69292;Sathonay-Camp;280;69580;0.085060557946426;0.79979228277322;4336;1.86
69293;Sathonay-Village;285;69580;0.085147826406396;0.7999522721757;1693;5.10
69294;Sérézin-du-Rhône;174;69360;0.084275158451447;0.79638889605815;2388;3.86
69295;Simandres;200;69360;0.085026627609663;0.7962434208836;1258;9.47
69296;Solaize;238;69360;0.08445939926461;0.79655374572963;2256;8.10
69297;Ternay;210;69360;0.083964875217318;0.79599621295542;4618;7.94
69298;Toussieu;240;69780;0.08701920473726;0.79683004869272;2019;5.10
69299;Colombier-Saugnieu;255;69124;0.089215472076355;0.79784810859844;2083;27.89
